id;codigo;nombre;descripcion;precio_base;moneda
1;User-centric Corner;Market;AI;60016;New
2;bluetooth;Avon;Stand-alone;76648;Concrete Towels
3;Web drive green;protocol;Shoals;46884;collaborative lime
4;Analyst Integration;Market;lime;27941;alarm Kids
5;Tuna 4th Baby;Soft;Home extend;50960;niches interface
6;pixel Quetzal Health;Polarised services;Cambridgeshire;5176;Interactions invoice
7;Soap copying;Clothing;Streets auxiliary navigating;26053;Total Avon Manager
8;XML integrate;hacking connect 1080p;Fall Future-proofed Open-source;73370;Pizza
9;Berkshire transmitter Customer;Agent action-items Product;Product back-end;37087;Portugal Inverse Synergized
10;Profound panel;Multi-tiered;Optional Chicken;21365;violet lime incentivize
